uid,pmin_median,pmax_median,pmax_99_perc,pmax_max
BARRY1 22 4 4 UN,1.0,450.0,450.0,450.0
ANTELOP 345 CSL ANTELO_1_UNIT UN,1.0,450.0,450.0,450.0
ANTELOP 24 0 ANTELO_2_UNIT UN,1.0,450.0,477.0,477.0
LELANDO 20 2 LELAND_2_UNIT UN,1.0,445.0,445.0,445.0
LELANDO 345 L2 LELAND_2_UNIT UN,1.0,445.0,445.0,445.0
SPORN 138 Q138 SP5 UN,200.0,445.0,445.0,445.0
HUGOPP4 23 1 1 UN,1.0,440.0,440.0,440.0
OKUDC 345 DCND DUMM UN,-440.0,440.0,440.0,440.0
EASTMAN 13.8 13 EASTMAN UN,0.0,440.0,440.0,440.0
OKUDC 345 GGLN DUMM UN,-440.0,440.0,440.0,440.0
ARNOLD 22 9101 DAEC_FPL_UNIT UN,0.0,435.0,435.0,435.0
NE_GAS 22 GN2 2 UN,1.0,434.0,434.0,434.0
SCHAHFER 345 Q345 P14 UN,1.0,431.0,431.0,431.0
CHOCTW 22 ST STG_401 UN,0.0,425.0,425.0,425.0
EXXMOB 138 GNND MKTUNIT UN,230.0,425.0,425.0,425.0
HOOKER_E 230 G4 G4 UN,0.1,422.0,422.0,422.0
SABINE_E 22 3 G3 UN,55.0,420.0,420.0,420.0
EDGEWATE 345 Q345 EDG_EDG5 UN,0.0,420.0,420.0,420.0
MILL_CRE 345 Q345 MCUNIT3 UN,1.0,419.0,419.0,419.0
WILSONBR 161 Q161 UN1 UN,1.0,419.0,419.0,419.0
STOUT 138 Q138 STO7 UN,1.0,418.0,418.0,418.0
LOWMAN6 230 2 2 UN,0.0,415.0,415.0,415.0
DOLET 24 3G 3 UN,0.0,415.0,415.0,415.0
WATERF 26 29 G2 UN,0.0,411.0,411.0,411.0
WATERF 26 28 G1 UN,0.0,411.0,411.0,411.0
L_GPSY 22 11 G2 UN,20.0,410.0,410.0,420.0
HSL1 10 30G 8 UN,0.0,410.0,410.0,410.0
DSY 103 VG42 VG42_DC_UNIT UN,0.0,405.0,405.0,405.0
DSY 103 VG31 VG31_DC_UNIT UN,0.0,405.0,405.0,405.0
DSY 103 VG32 VG32_DC_UNIT UN,0.0,405.0,405.0,405.0
NEALN 22 U3 NEALN_3_UNIT UN,0.0,405.0,405.0,405.0
DSY 103 VG41 VG41_DC_UNIT UN,0.0,405.0,405.0,405.0
MATHWSN7 345 TR2 TRAVERSE2 UN,0.0,400.44,400.44,400.44
MATHWSN7 345 TR1 TRAVERSE1 UN,0.0,400.44,400.44,400.44
GRPRAIR 345 RLJ GRPR1_WIND UN,0.0,400.0,400.0,400.0
CONCORD 138 A13Z EQ_UN_A138 UN,-400.0,400.0,400.0,400.0
HUGH 345 UN1 HPWF UN,0.0,400.0,400.0,400.0
GATEWAY2 23 9G ST1 UN,1.0,400.0,410.0,410.0
HUGH 345 4 HPWF UN,0.0,400.0,400.0,400.0
PARIS001 138 A13Z EQ_UN_A138 UN,-400.0,400.0,400.0,400.0
WESTON 345 Q345 WESTON_4 UN,0.5,400.0,400.0,400.0
ALMA2 161 412 ALMA_6_UNIT UN,150.0,399.0,399.0,399.0
MORRO_SM 161 213 CT1 UN,135.0,398.0,398.0,398.0
JOU_MEC 24 O3 OTTUMWA1_JOU UN,0.0,397.8,397.8,397.8
BISONMP 34.5 Q34 BISON1_UNIT UN,0.0,394.2,394.2,394.2
SHERCO 26 9999 SHERCS_3_UNIT UN,0.0,393.6,393.6,393.6
TURK_PP 24 BLE2 CSWSWTURK UN,0.0,391.7,391.7,391.7
WESTON 19 Q19 WESTON_4 UN,0.5,390.0,390.0,390.0
HWENERG 230 6 6 UN,1.0,389.0,389.0,389.0
